DATE,VIX
25/06/2018,17.33
26/06/2018,15.92
27/06/2018,17.91
28/06/2018,16.85
29/06/2018,16.09
02/07/2018,15.6
03/07/2018,16.14
05/07/2018,14.97
06/07/2018,13.37
09/07/2018,12.69
10/07/2018,12.64
11/07/2018,13.63
12/07/2018,12.58
13/07/2018,12.18
16/07/2018,12.83
17/07/2018,12.06
18/07/2018,12.1
19/07/2018,12.87
20/07/2018,12.86
23/07/2018,12.62
24/07/2018,12.41
25/07/2018,12.29
26/07/2018,12.14
27/07/2018,13.03
30/07/2018,14.26
31/07/2018,12.83
01/08/2018,13.15
02/08/2018,12.19
03/08/2018,11.64
06/08/2018,11.27
07/08/2018,10.93
08/08/2018,10.85
09/08/2018,11.27
10/08/2018,13.16
13/08/2018,14.78
14/08/2018,13.31
15/08/2018,14.64
16/08/2018,13.45
17/08/2018,12.64
20/08/2018,12.49
21/08/2018,12.86
22/08/2018,12.25
23/08/2018,12.41
24/08/2018,11.99
27/08/2018,12.16
28/08/2018,12.5
29/08/2018,12.25
30/08/2018,13.53
31/08/2018,12.86
04/09/2018,13.16
05/09/2018,13.91
06/09/2018,14.65
07/09/2018,14.88
10/09/2018,14.16
11/09/2018,13.22
12/09/2018,13.14
13/09/2018,12.37
14/09/2018,12.07
17/09/2018,13.68
18/09/2018,12.79
19/09/2018,11.75
20/09/2018,11.8
21/09/2018,11.68
24/09/2018,12.2
25/09/2018,12.42
26/09/2018,12.89
27/09/2018,12.41
28/09/2018,12.12
01/10/2018,12
02/10/2018,12.05
03/10/2018,11.61
04/10/2018,14.22
05/10/2018,14.82
08/10/2018,15.69
09/10/2018,15.95
10/10/2018,22.96
11/10/2018,24.98
12/10/2018,21.31
15/10/2018,21.3
16/10/2018,17.62
17/10/2018,17.4
18/10/2018,20.06
19/10/2018,19.89
22/10/2018,19.64
23/10/2018,20.71
24/10/2018,25.23
25/10/2018,24.22
26/10/2018,24.16
29/10/2018,24.7
30/10/2018,23.35
31/10/2018,21.23
01/11/2018,19.34
02/11/2018,19.51
05/11/2018,19.96
06/11/2018,19.91
07/11/2018,16.36
08/11/2018,16.72
09/11/2018,17.36
12/11/2018,20.45
13/11/2018,20.02
14/11/2018,21.25
15/11/2018,19.98
16/11/2018,18.14
19/11/2018,20.1
20/11/2018,22.48
21/11/2018,20.8
23/11/2018,21.52
26/11/2018,18.9
27/11/2018,19.02
28/11/2018,18.49
29/11/2018,18.79
30/11/2018,18.07
03/12/2018,16.44
04/12/2018,20.74
06/12/2018,21.19
07/12/2018,23.23
10/12/2018,22.64
11/12/2018,21.76
12/12/2018,21.46
13/12/2018,20.65
14/12/2018,21.63
